sku,name,review_avg,review_count,ranks,min_rank,max_rank,ranks_count,offer,offers,tag1,tag2,request_date
B07CVDV7YY,"Maui Moisture Coconut Oil Conditioner for Curly Hair, 385ml",4.50,1020,{/beauty/2867976031/=22},22,22,1,5.99,5,,,2022-05-08
B07QBQQQ1L,Colapz Caravan Accessories - Flexi Waste Pipe Caravan Waste Pipe Positioning Rock Pegs for Hard and Soft Ground -10 Pegs,4.70,100,"{/automotive/2486073031/=14, /automotive/301314031/=57}",14,57,2,19.99,1,,,2022-05-08
B08CTGR1XC,"Black Hat Python, 2nd Edition: Python Programming for Hackers and Pentesters",4.70,146,{/digital-text/10608398031/=45},45,45,1,23.29,1,Justin Seitz,Kindle Edition,2022-05-08
B01LZYGOPF,Detour: (Beautiful Biker MC Romance Series),4.40,422,"{/digital-text/362728031/?tf=1=36, /digital-text/362725031/?tf=1=81}",36,81,2,0.00,1,DD Prince,Kindle Edition,2022-05-08
B077JBM6F4,Spanish Serrano Ham Shoulder Bodega 4.5 / 5 kg. I 100% Natural - Gluten Free I Paleta de Jamon Serrano Bodega I Jamones España,3.90,9,"{/grocery/6860832031/=38, /grocery/6860826031/=58}",38,58,2,56.00,1,,,2022-05-09
B00IBIUZQW,Roland Kt-10 Kick Trigger Pedal for V-Drums And Hybrid Drums,4.70,155,"{/musical-instruments/5496170031/=53, /musical-instruments/5496125031/=30}",30,53,2,188.00,2,,,2022-05-08
B086HX4V55,¡Obtén ese trabajo!: Ten éxito en cada entrevista de trabajo ¡Siempre! (Serie Consejos Para Comenzar La Universidad no 1) (Spanish Edition),5.00,3,{/digital-text/3653115031/=88},88,88,1,0.99,1,Christine  Reidhead,Kindle Edition,2022-05-09
B00TACKMZC,first4magnetsTM F352SC-20 Magnet Expert® 5mm dia x 2mm thick Samarium Cobalt Magnet - 0.33kg Pull ( Pack of 20 ),4.60,120,"{/industrial/10257002031/=24, /industrial/10257006031/=18}",18,24,2,4.79,3,,,2022-05-08
B006B8E04C,"NRS Healthcare Premium Bed Pad - 700 x 85 cm (27.5 x 33.5 inch), 2.5 L Capacity",5.00,2,{/drugstore/26930115031/=54},54,54,1,19.64,1,,,2022-05-09
B08LMP3KZB,"The Spitfire Kids: The generation who built, supported and flew Britain's most beloved fighter",4.60,80,"{/books/922386/=69, /books/12447625031/=33, /books/10960851/=28, /books/759188/=99}",28,99,4,4.99,1,Alasdair Cross,Kindle Edition,2022-05-08
B07V9G4QM5,"Colgate Max White Charcoal Toothpaste, 75ml",4.50,1339,{/drugstore/74144031/=39},39,39,1,2.50,1,,,2022-05-08
B09C1PGNZP,"Swetup Aquarium Fish Breeding Box, Fish Hatchery Isolation Box Large Fish Net Breeder Breeding Container Fish Nursery for Aquarium with 6 Suction Cup Fishing Nets for Tropical Guppy Fish Floating Fish",3.70,33,{/pet-supplies/471503031/=71},71,71,1,,,,,2022-05-09
B01N59VLN2,The Dhammapada,4.80,929,{/audible/19395260031/=76},76,76,1,7.25,1,Eknath Easwaran,Audible Audiobook,2022-05-09
B08RC5XHMP,"Jade Roller & Gua Sha Scraping Massage Tool, Anti-Aging Natural Facial Jade Stone Set - Face Eye Neck Beauty Roller for Slimming & Firming - Rejuvenate Skin & Remove Wrinkles",4.20,339,{/drugstore/3360477031/=100},100,100,1,7.34,2,,,2022-05-09
B08BZ11L9T,UX Design 2020: The Ultimate Beginner's Guide to User Experience,4.30,44,{/books/267672/=57},57,57,1,9.99,1,Theo Farrington,Kindle Edition,2022-05-08
B0013PVFNM,Integrated Photonics: Fundamentals,,,{/digital-text/367682031/=62},62,62,1,69.22,1,Ginés Lifante,Kindle Edition,2022-05-09
B08YPV6PM8,"Wildtrak Men's WT036 Bike, Black, 27.5""",,,{/sports/550033011/=84},84,84,1,,,,,2022-05-09
B07D7YT8H4,"sourcingmap 3 M 23 x 28.5 mm PP Flexible Corrugated Conduit Tube for Garden,Office White",,,{/diy/14527185031/=100},100,100,1,21.99,2,,,2022-05-09
B07WTLKN2K,"Mytra Fusion Semi Contact Boxing Gloves for Kickboxing, Training, Fighting, MMA, Muay Thai, Sparring and Martial Arts",4.60,3,{/sports/453527031/=11},11,11,1,17.99,29,,,2022-05-09
B09NX93WHF,10 Pcs Jewellery Bags Velvet Jewelry Pouches Drawstring Gift Bags 9cm x 7cm,4.50,36,{/jewelry/4220718031/=19},19,19,1,3.29,2,,,2022-05-08
B00064JWJU,Legend Of The Wu-Tang: Greatest Hits,4.60,424,{/music/5522516031/=64},64,64,1,,,Wu-Tang Clan,Vinyl,2022-05-09
B07ZDFJ1SQ,Slim Black Glasses Case Quality Squeeze Snap Top For Reading glasses and Sunglasses,4.40,137,{/clothing/1730938031/=29},29,29,1,7.99,2,,,2022-05-09
B00BQKOIRO,RIAFCU Mobile Banking(Kindle Tablet Edition),3.70,6,{/mobile-apps/9314674031/?tf=1=20},20,20,1,0.00,1,RIA Federal Credit Union,,2022-05-08
0713664711,Developing Key Stage 3 Numeracy: Algebra Year 7 (Developing Numeracy),5.00,1,"{/books/15512097031/=78, /books/5346528031/=58}",58,78,2,14.00,2,Steve Mills,Paperback,2022-05-09
B08XXYLD37,M.Y Splash 10ft x 30in Metal Frame Swimming Pool and Filter Pump Set 10ft Swimming Pool,4.40,33,{/outdoors/4364623031/=82},82,82,1,141.11,2,,,2022-05-09
B002742UPU,The Very Best Of,4.40,218,{/digital-music-album/118628031/=53},53,53,1,7.99,1,John Cooper Clarke,,2022-05-09
B07BHQ23B8,SPARES2GO Limescale Mesh Spout Filter for Russell Hobbs 21400 Mode Black Kettle 3kw,,,{/kitchen/13528607031/=67},67,67,1,8.61,2,,,2022-05-08
B000KKPFFA,J-B Weld 8272UK JB8272 Marine Weld Waterproof 2 Part Epoxy Adhesives,4.60,4271,"{/diy/1938371031/=6, /diy/1938372031/=3}",3,6,2,5.45,19,,,2022-05-09
B00C681GZ2,"Fine Decor FDB07508S 125 mm Leaf Trail Border, Black/ Silver",4.10,24,{/kitchen/3028643031/=61},61,61,1,15.90,1,,,2022-05-08
1591397995,3-d Negotiation: Powerful Tools to Change the Game in Your Most Important Deals,4.40,107,{/books/268129/=64},64,64,1,6.06,9,David A. Lax,Hardcover,2022-05-08
1939563135,Paleo Girl: Take a Leap. Empower Yourself. Be Awesome!,4.60,56,"{/books/5346611031/=32, /books/5346609031/=55}",32,55,2,5.41,17,Leslie Klenke,Paperback,2022-05-08
B00LAD26LC,The Hangman's Revolution: W.A.R.P. Book 2,4.60,143,"{/audible/19377811031/=16, /audible/19377812031/=44, /audible/19377809031/=4}",4,44,3,16.62,1,Eoin Colfer,Audible Audiobook,2022-05-09
B0153CNREK,Nenalina 713218 Charm Tree Of Life Pendant in 925 Sterling Silver For All Common Brands of Charm Jewellery,4.60,129,{/jewelry/10382899031/=86},86,86,1,9.00,1,,,2022-05-09
B09C5VTFZY,"Digital Photo Frame 8 Inch, 1920x1080 High Resolution 16:9 Full IPS Display Digital Picture frames Auto-Rotate Image Preview Video Calendar Clock Auto On/Off Timer",4.30,826,{/electronics/275058011/=91},91,91,1,62.99,1,,,2022-05-09
B08LNZW2FD,LAPASA Men’s Quick Dry Sports Crew Neck Tee Shirt Exercise Undershirt Workout Gym Top M15,4.10,671,"{/clothing/3521323031/=17, /clothing/1730977031/=68}",17,68,2,,,,,2022-05-08
B085VRHWLH,Baby Girl Headbands-Nylon Bows 10 Packs Mix Style Hair Band Accessories for Newborn Toddler and Little Baby (A),4.60,207,{/clothing/1730855031/=66},66,66,1,6.99,1,,,2022-05-09
B01NGTAHKC,"Andreia Professional Extreme Care Complex + - All-in-1 treatment, Base and Top Coat, Moisturiser and Hardener - 10.5ml",4.60,3,{/beauty/2909213031/=23},23,23,1,7.90,1,,,2022-05-08
1842159372,Aqua Yoga for Pregnancy,,,{/books/534500/=63},63,63,1,2.76,3,Francoise Freedman,Paperback,2022-05-09
B01J5V3NTE,"Telemecanique Sensor Osisense XS & XT male, M12, 5-pin, elbowed connector - cable gland Pg 7, XZCC12MCM50B",,,{/industrial/10256317031/=7},7,7,1,9.32,1,,,2022-05-09
1909263079,Professor Astro Cat's Frontiers of Space: 1,4.90,292,{/books/5346625031/=36},36,36,1,2.89,12,Ben Newman,Hardcover,2022-05-08
B08R6BG8NV,"Stamp SM250035 Spiderman Roller Skates Size 23/27 + Elbow and Knee Protectors Spider-Man Set, E/K Pads, 23-27, Blue & Red",4.60,10,{/sports/454895031/=35},35,35,1,27.62,1,,,2022-05-08
B01NC08IQA,Time Splice,5.00,1,{/mobile-apps/9315007031/?tf=1=93},93,93,1,0.00,1,sreeram ajay,,2022-05-08
B07DVM967K,"Drink Me Gift Tags - Kraft Card Perfect for: Wedding Favours, Baby Shower, Bridal Shower, Birthday or Special Event - sold in multiples of 10 from PMPrinted",5.00,2,{/handmade/10294045031/=37},37,37,1,3.50,1,,,2022-05-09
B077TWLWHK,"Petzl Pulse Removable Starter 8 mm Adult's Anchor Plate, Unisex, Multi-Colour, One Size",4.60,3,"{/sports/453568031/=93, /sports/453569031/=5}",5,93,2,39.71,5,,,2022-05-08
B07VNH2L47,The Last Day of Winter (A Winter Day Book Book 3),4.60,1168,"{/digital-text/362835031/=54, /books/270636/=96}",54,96,2,2.59,1,Shari Low,Kindle Edition,2022-05-09
B09TTNMKV6,Mountain Mist Still Berries & Cherries 12 x 500ml,,,{/grocery/14222266031/=52},52,52,1,14.99,1,,,2022-05-09
B01M0LPKWZ,vitazoo Hands Free Dog Lead for Running – Adjustable Dog Walking Belt – with Reflective Stripes – Jogging Leash,4.10,338,{/pet-supplies/13154127031/=92},92,92,1,19.99,1,,,2022-05-09
B01N9PZ3LU,Splatter Capital,4.70,8,{/audible/19393899031/=55},55,55,1,13.12,1,Mark Steven,Audible Audiobook,2022-05-09
B00125LEPC,Daytona USA Championship circuit edition - Saturn - PAL,5.00,7,"{/videogames/13978121031/=43, /videogames/13978124031/=24}",24,43,2,18.46,5,Sega,Sega Saturn,2022-05-08
B06XYHVBTL,FR123 GUILTY WOMAN perfume oil for women. 6ml roll-on bottle. Arabian Opulence. Floral/soft spicy/fruity/sweet/patchouli/fresh,4.40,230,{/beauty/2790140031/=25},25,25,1,3.98,1,,,2022-05-08
B089NDYHDZ,BELLE VOUS Stocking Holders for Fireplace (6 Pack) - Silver Christmas Stocking Holder with White Top Anti Skid Safety Hang Grip - Xmas Party Fireplace Mantel Decoration Stocking Holder Hook Hanger,4.50,88,{/kitchen/22649610031/=73},73,73,1,6.59,1,,,2022-05-09
B07MJPX8D2,"Rose Pruning Gloves for Women.Thorn Proof Cowhide Leather Gardening Gloves with Long Cowhide Gauntlet to Protect Your Arms Until the Elbow (Medium, Green)",4.60,138,{/diy/1939575031/=51},51,51,1,11.90,4,,,2022-05-09
B00N2VISLW,"Amazon Basics RJ45 CAT6 Gigabit Ethernet LAN Cable, Ideal for Home and Office Networks (0.9 m/3 Feet)",4.50,11738,{/computers/430464031/=23},23,23,1,4.21,7,,,2022-05-08
1421595176,"Black Clover, Vol. 8: Despair vs. Hope: Volume 8",4.80,362,"{/books/15512339031/=98, /books/15512324031/=77}",77,98,2,5.49,14,Yuki Tabata,Paperback,2022-05-09
B01ALLK07U,Sky4Less IO-Link IO-Box Modulator for Magic Eye Sky HD Box,4.40,445,{/boost/23015583031/=89},89,89,1,10.99,2,,,2022-05-08
1611800331,Zen Confidential: Confessions of a Wayward Monk,4.30,105,{/books/277264/=57},57,57,1,1.48,15,Shozan Jack Haubner,Paperback,2022-05-09
B01EAZS9I0,Bankers Standard FILESTORE Module,4.70,10,{/officeproduct/200842031/=67},67,67,1,19.99,3,,,2022-05-08
B07BN95H51,A Safe Place To Stay: A Novel Of World War II,3.80,9,{/digital-text/3653134031/=99},99,99,1,2.99,1,Derek Ansell,Kindle Edition,2022-05-09
B074V6SXJ2,"Portable Travel Bidet, YAMI IPX6 Waterproof Electric Bidet Sprayer with Automatic Decompression Film and Nozzle 180 Degree Adjustment for Baby Wash, Personal Care, Disability, Traveling (140ml)",4.00,272,{/diy/1938738031/=3},3,3,1,25.99,1,,,2022-05-08
B00KEQ0WTE,Tool Clip - 19mm (Pack of 4),4.50,2,{/diy/1939599031/=67},67,67,1,2.50,1,,,2022-05-09
B07VD5RN13,iiniim Women Girls Sequins Ballet Dance Leotard Dress Lyrical Modern Ballroom Dancwear Costumes,5.00,3,{/sports/3939485031/=98},98,98,1,30.65,9,,,2022-05-09
B08LDN79ZR,"Casecover Jelly Scraping Scraper, Macroporous Stainless Steel Household Porous Cooking Utensils, Kitchen Scraper for Fruit Pasta Jelly Potato",,,{/kitchen/3538357031/=58},58,58,1,,,,,2022-05-08
B0052T7AUW,ESSDEE 71040105 Essdee Five Lino Cutters and Handle Set (Lino Cutter Styles 1 to 5),4.60,448,"{/kitchen/3063782031/=5, /kitchen/3063802031/=4}",4,5,2,3.46,13,,,2022-05-08
B07YWF3CPW,Volwassan Womens 3 in 1 Waterproof Jacket Unisex Winter Fleece Ski Jacket with Removable Hood Ladies Raincoat Climbing Camping,4.10,111,"{/sports/3076753031/=23, /sports/3076767031/=18}",18,23,2,39.99,32,,,2022-05-08
B07R4HCLJL,"Snow Foam Lance 1/4"" Quick Release Car Wash Foam Lance Pot, Adjustable Nozzle High Pressure Washer Soap Dispenser Bottle (1L)",4.30,129,{/outdoors/4370247031/=23},23,23,1,17.99,1,,,2022-05-09
B07H6D9YJC,"ALEENFOON Kids Telescopes, 20X-30X-40X Adjustable Childrens Science Astronomical Telescope for Kids Beginners Astronomy Stargazing, with Tripod Eyepieces Compass Star Finder Lens Kids Toy Set",3.90,220,{/kids/509895031/=74},74,74,1,21.99,3,,,2022-05-09
0564070378,Good News Bible: The Youth Edition,4.80,150,"{/books/15512250031/=58, /books/277284/=71, /books/277183/=78, /books/280222/=84}",58,84,4,3.48,22,BIBLE SOCIETY RESOURCES,Paperback,2022-05-08
B0721K77N5,"Phone Stand, Lamicall Adjustable Phone Dock - Universal Stand, Cradle, Holder Compatible with iPhone 13, 13 Pro, 12 Pro Max Mini, 11 Pro Xs Max XR X 8 7 6S Plus SE, Samsung S10 S9, Smartphone - Gray",4.70,12291,{/electronics/27295732031/=70},70,70,1,8.79,1,,,2022-05-08
B00URYFDME,"The ZZap NC50 Banknote Counter & Counterfeit Detector - Value Counts up to 12 Currencies, 8-fold Counterfeit Detection, 1500 Notes/min and More!",2.10,2,{/officeproduct/9469048031/=65},65,65,1,669.99,1,,,2022-05-09
B0743WXPSY,PawHealer® Hound Honey: Trachea Soother Syrup - 150 ml (5 fl oz) - Natural Herbal Remedy for Symptoms of Collapsed Trachea - Tastes Good - Easy to Administer......,3.80,83,{/pet-supplies/2110342031/=73},73,73,1,35.79,1,,,2022-05-09
B00MAGM97O,Pilot Red Frixion Rollerball Erasable Pens Pen 0.7mm Nib Tip 0.35mm Line BL-FR7 (Pack Of 3),4.70,358,{/officeproduct/201076031/=48},48,48,1,6.40,9,,,2022-05-08
B00XY3Q5BI,French Toast Girl's School Uniform Dress,4.70,441,{/industrial/1731251031/=32},32,32,1,31.00,1,,,2022-05-08
B01I2UZMRA,Vax VAX1113332700 Hard Water Filter,4.30,6,{/kitchen/3576384031/=35},35,35,1,19.99,2,,,2022-05-08
1782760296,Once Upon a Time - Behind the Magic (Insiders Guide),4.60,226,{/books/275724/=62},62,62,1,14.80,9,Tara Bennett,Paperback,2022-05-08
B007KL6MK4,Tao: The Watercourse Way,4.60,598,"{/digital-text/362485031/=96, /digital-text/362697031/=29}",29,96,2,4.27,1,Alan Watts,Kindle Edition,2022-05-09
B07BMB5J6F,Miss Moonshine's Emporium of Happy Endings: A feel-good collection of heartwarming stories (Miss Moonshine's Wonderful Emporium: a series of uplifting anthologies),4.50,269,{/digital-text/362361031/=96},96,96,1,1.99,1,Helena Fairfax,Kindle Edition,2022-05-09
